IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F
2010,1,2,-19.475
2010,1,3,-20.450000000000003
2010,1,4,-14.050000000000002
2010,1,5,-10.65
2010,1,6,-8.100000000000001
2010,1,7,0.499999999999999
2010,1,8,-4.825000000000001
2010,1,9,-9.800000000000002
2010,1,10,8.75
2010,1,11,12.375
2010,1,12,13.2
2010,1,13,20.325000000000003
2010,1,14,22.424999999999997
2010,1,15,15.774999999999999
2010,1,16,29.349999999999998
2010,1,17,26.75
2010,1,18,25.9
2010,1,19,19.65
2010,1,20,20.950000000000003
2010,1,21,21.075
2010,1,22,28.875
2010,1,23,31.13802816901408
2010,1,24,32.9
2010,1,25,28.35
2010,1,26,3.099999999999999
2010,1,27,-3.625000000000001
2010,1,28,-7.900000000000001
2010,1,29,-6.250000000000002
2010,1,30,-5.773913043478262
2010,1,31,2.718309859154929
2010,2,1,-6.964705882352942
2010,2,2,-1.5750000000000008
2010,2,3,-1.2750000000000008
2010,2,4,11.6
2010,2,5,21.25
2010,2,6,6.474999999999999
2010,2,7,17.875
2010,2,8,17.825000000000003
2010,2,9,8.024999999999999
2010,2,10,4.424999999999999
2010,2,11,-0.9000000000000008
2010,2,12,1.2225352112676047
2010,2,13,2.566197183098591
2010,2,14,12.7
2010,2,15,20.325000000000003
2010,2,16,20.725
2010,2,17,24.9
2010,2,18,17.498591549295774
2010,2,19,11.328125
2010,2,20,12.174999999999999
2010,2,21,14.899999999999999
2010,2,22,16.65
2010,2,23,12.149999999999999
2010,2,24,1.7249999999999992
2010,2,25,23.9225
2010,2,26,5.099999999999999
2010,2,27,11.845070422535212
2010,2,28,20.0
2010,3,1,20.10909090909091
2010,3,2,21.630985915492957
2010,3,3,24.285714285714285
2010,3,4,23.225
2010,3,5,29.650000000000002
2010,3,6,36.8
2010,3,7,34.95
2010,3,8,35.025000000000006
2010,3,9,40.2
2010,3,10,38.625
2010,3,11,39.925
2010,3,12,38.849999999999994
2010,3,13,38.825
2010,3,14,45.025000000000006
2010,3,15,98.51652173913044
2010,3,16,44.929577464788736
2010,3,17,117.9889552238806
2010,3,18,43.839436619718306
2010,3,19,168.1590909090909
2010,3,20,22.408571428571427
2010,3,21,31.875
2010,3,22,63.614782608695656
2010,3,23,40.3
2010,3,24,33.625
2010,3,25,16.174999999999997
2010,3,26,19.775
2010,3,27,37.025000000000006
2010,3,28,32.974999999999994
2010,3,29,37.400000000000006
2010,3,30,49.08732394366197
2010,3,31,60.09565217391305
2010,4,1,48.400000000000006
2010,4,2,54.275000000000006
2010,4,3,44.099999999999994
2010,4,4,38.0
2010,4,5,45.775000000000006
2010,4,6,42.2
2010,4,7,36.5
2010,4,8,34.349999999999994
2010,4,9,35.10434782608696
2010,4,10,45.325
2010,4,11,45.724999999999994
2010,4,12,47.09850746268656
2010,4,13,43.713846153846156
2010,4,14,51.925
2010,4,15,57.525000000000006
2010,4,16,45.349999999999994
2010,4,17,46.675
2010,4,18,43.599999999999994
2010,4,19,47.55
2010,4,20,48.975
2010,4,21,38.775000000000006
2010,4,22,41.349999999999994
2010,4,23,52.900000000000006
2010,4,24,52.75142857142857
2010,4,25,52.95890410958904
2010,4,26,44.75
2010,4,27,39.11
2010,4,28,43.625
2010,4,29,48.833802816901404
2010,4,30,51.31142857142857
2010,5,1,104.894375
2010,5,2,48.40655737704918
2010,5,3,45.54736842105263
2010,5,4,50.96279069767442
2010,5,5,42.175
2010,5,6,37.95384615384615
2010,5,7,37.544000000000004
2010,5,8,37.099999999999994
2010,5,9,38.55
2010,5,10,44.2
2010,5,11,47.05
2010,5,12,47.135211267605634
2010,5,13,45.125
2010,5,14,41.425
2010,5,15,48.974999999999994
2010,5,16,58.25
2010,5,17,58.550000000000004
2010,5,18,84.87565217391304
2010,5,19,62.574285714285715
2010,5,20,111.6005633802817
2010,5,21,62.675000000000004
2010,5,22,65.92307692307693
2010,5,23,68.83661971830986
