STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72565003017,1/1/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",11.6,24,5.5,24,1030.9,24,839.1,24,7.1,24,5,24,9.9,999.9,28, ,3, ,0,G,999.9,1000
72565003017,1/2/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",21.2,24,7.3,24,1029.4,24,839,24,7.7,24,5.6,24,9.9,999.9,43, ,3, ,0,G,999.9,0
72565003017,1/3/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",31.8,24,3,24,1026.7,24,839.3,24,10,24,9.7,24,15.9,24.1,53.1, ,10.9, ,0,G,999.9,0
72565003017,1/4/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",34.6,24,11.6,24,1022,24,836.5,24,10,24,6.5,24,8.9,999.9,53.1, ,17.1, ,0,G,999.9,0
72565003017,1/5/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",36.3,24,11.4,24,1020.9,24,835.9,24,10,24,6.7,24,14,999.9,55.9, ,23, ,0,G,999.9,0
72565003017,1/6/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",40.2,24,18.1,24,1017.9,24,834.3,24,10,24,5.1,24,11.1,999.9,62.1, ,25, ,0,G,999.9,0
72565003017,1/7/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",39.8,24,25.2,24,1013,24,830.5,24,9.8,24,5,24,11.1,999.9,62.1, ,26.1, ,0.01,G,999.9,11000
72565003017,1/8/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",33.2,24,23,24,1017.6,24,832.9,24,10,24,6.1,24,13,999.9,48.9, ,24.1, ,0,I,999.9,0
72565003017,1/9/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",48.2,24,24.9,24,1009.2,24,828,24,10,24,6.6,24,15,999.9,68, ,24.1, ,0,G,999.9,0
72565003017,1/10/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",49.3,24,24.4,24,997,24,819.3,24,10,24,9.8,24,17.1,27,68, ,34, ,0,G,999.9,10000
72565003017,1/11/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",31,24,18.9,24,1014,23,829.3,24,9.9,24,8.4,24,22.9,32.1,57, ,21, ,0.17,G,999.9,11000
72565003017,1/12/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",35.3,24,18.2,24,1017.1,24,832.4,24,10,24,9.5,24,18.1,22.9,46, ,21, ,0,G,999.9,11000
72565003017,1/13/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",31.2,24,22.7,24,1025.9,22,839.5,24,9.7,24,5.8,24,14,999.9,48, ,19, ,0.03,G,999.9,1000
72565003017,1/14/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",35.9,24,20.7,24,1025.2,24,839.2,24,10,24,7,24,9.9,999.9,55.9, ,19, ,0,G,999.9,0
72565003017,1/15/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",24.8,24,16,24,1027.4,16,840.8,24,7.2,24,9,24,25.1,999.9,43,*,15.1,*,0,G,999.9,11000
72565003017,1/16/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",10.3,24,-4.1,24,1038.3,24,844.5,24,10,24,6.3,24,9.9,999.9,34, ,-4, ,0.03,G,999.9,0
72565003017,1/17/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",27.1,24,7.5,24,1027.8,24,838.9,24,10,24,4.7,24,9.9,999.9,50,*,17.1,*,0,G,999.9,0
72565003017,1/18/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",41,24,10.5,24,1020,24,835.5,24,10,24,9.1,24,15.9,999.9,64.9, ,15.1, ,0,G,999.9,0
72565003017,1/19/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",49.8,24,14.5,24,1007.2,24,827.3,24,10,24,9.4,24,15.9,999.9,66.9, ,26.2, ,0,G,999.9,0
72565003017,1/20/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.9,24,18.7,24,1004.2,24,824.5,24,10,24,9,24,14,999.9,66.9, ,32, ,0,G,999.9,0
72565003017,1/21/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",26.9,24,23.4,24,1009.9,11,826.3,24,3.5,24,11.6,24,24.1,32.1,48, ,23, ,0.07,G,999.9,111000
72565003017,1/22/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",26.1,24,11.1,24,1017.5,24,830.8,24,9.1,24,11.4,24,27,32.1,44.1, ,9, ,0.23,G,1.2,1000
72565003017,1/23/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",29.1,24,9.3,24,1022.4,24,835.7,24,10,24,5.8,24,11.1,999.9,44.1, ,9, ,0,G,3.9,0
72565003017,1/24/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",29.5,24,12.6,24,1024.4,24,837,24,10,24,11.3,24,15.9,999.9,46.9, ,14, ,0,G,3.1,0
72565003017,1/25/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",42.4,24,15.2,24,1013.5,24,830.8,24,10,24,14,24,25.1,33,54,*,34,*,0,G,3.1,0
72565003017,1/26/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",35.9,24,12.5,24,1008.6,24,826.5,24,10,24,10.7,24,25.1,33,54, ,25, ,0,G,2,0
72565003017,1/27/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",30.1,24,4.3,24,1023.9,24,837.2,24,10,24,8.4,24,15.9,999.9,45, ,16, ,0,G,999.9,0
72565003017,1/28/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",35.2,24,14.1,24,1025.4,24,839,24,10,24,7.7,24,15.9,22.9,52, ,16, ,0,G,999.9,0
72565003017,1/29/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",34.7,24,20.9,24,1030.2,24,843.3,24,10,24,6.3,24,12,999.9,57.9, ,19, ,0,G,999.9,0
72565003017,1/30/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",47.2,24,14.3,24,1016.2,24,834,24,10,24,10.6,24,26,41,63, ,21.9, ,0,G,999.9,0
72565003017,1/31/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.2,24,18.5,24,1007.5,24,827.3,24,10,24,9.2,24,25.1,36.9,63, ,24.1, ,0,G,999.9,0
72565003017,2/1/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",27.5,24,20.5,24,1020.2,17,834.6,24,8.4,24,7.8,24,12,999.9,36,*,24.1,*,0.01,G,999.9,1000
72565003017,2/2/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",31.3,24,22.2,24,1021.5,16,836,24,5.8,24,5.9,24,14,999.9,60.1, ,18, ,0.01,G,999.9,101000
72565003017,2/3/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",43,24,23.9,24,1010.9,24,828.8,24,9.7,24,10.1,24,22.9,36.9,60.1, ,18, ,0,G,999.9,0
72565003017,2/4/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",29.3,24,18.5,24,1012.6,18,831.3,24,7.3,24,9.5,24,22,28.9,57.9, ,10, ,0,G,999.9,111000
72565003017,2/5/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",36.8,24,23.1,24,1011.9,24,827.5,24,9.9,24,10.4,24,21,39,55.9, ,10, ,0,G,999.9,0
72565003017,2/6/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",27.5,24,19.8,24,1015.6,21,830.6,24,6.7,24,7.6,24,17.1,22,55.9, ,21, ,0,G,999.9,1000
72565003017,2/7/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",33.1,24,19.6,24,1022,24,835.9,24,9.1,24,7.6,24,11.1,999.9,53.1, ,16, ,0,G,999.9,100000
72565003017,2/8/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",46.8,24,20.1,24,1019.2,24,836.2,24,10,24,11.8,24,22.9,33,60.1,*,36,*,0,G,999.9,0
72565003017,2/9/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",36.2,24,20.9,24,1012.5,22,830.6,24,5.1,24,10,24,25.1,33,61, ,19, ,0,G,999.9,111000
72565003017,2/10/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",15.2,24,11.8,24,1017.7,17,829.7,24,0.7,24,7.6,24,18.1,999.9,19,*,10,*,0,G,999.9,101000
72565003017,2/11/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",18.2,24,9.5,24,1019.2,24,830,24,9.8,24,9.6,24,15,999.9,43, ,0, ,0.14,G,999.9,0
72565003017,2/12/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",20.7,24,15.4,24,1017.5,19,830.5,24,6.5,24,7.1,24,14,999.9,43, ,0, ,0,G,2,1000
72565003017,2/13/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",30.9,24,18.5,24,1020.4,21,833.4,24,8,24,6.9,24,13,18.1,57.9, ,14, ,0,G,999.9,1000
72565003017,2/14/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",45.9,24,19.4,24,1013,24,831.1,24,10,24,8.7,24,24.1,33,66,*,35.1,*,0,G,999.9,0
72565003017,2/15/2018,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",43,24,22.4,24,1007.2,24,826.9,24,10,24,10.1,24,19,26,66, ,25, ,0,G,999.9,0
